,data,valor,igpm,Ano_mes_original,Ano_mes,seq_tempo
0,2013-01-01,0.34,0.0,201301,201301,
1,2013-02-01,0.29,0.0,201302,201302,
2,2013-03-01,0.21,0.0,201303,201303,
3,2013-04-01,0.15,0.0,201304,201304,
4,2013-05-01,0.0,0.0,201305,201305,
5,2013-06-01,0.75,0.0,201306,201306,
6,2013-07-01,0.26,0.0,201307,201307,
7,2013-08-01,0.15,0.0,201308,201308,
8,2013-09-01,1.5,0.0,201309,201309,
9,2013-10-01,0.86,0.0,201310,201310,
10,2013-11-01,0.29,0.0,201311,201311,
11,2013-12-01,0.6,5.4,201312,201312,
12,2014-01-01,0.48,5.54,201401,201401,
13,2014-02-01,0.38,5.63,201402,201402,
14,2014-03-01,1.67,7.09,201403,201403,
15,2014-04-01,0.78,7.72,201404,201404,
16,2014-05-01,-0.13,7.59,201405,201405,
17,2014-06-01,-0.74,6.1,201406,201406,
18,2014-07-01,-0.61,5.2299999999999995,201407,201407,
19,2014-08-01,-0.27,4.81,201408,201408,
20,2014-09-01,0.2,3.51,201409,201409,
21,2014-10-01,0.28,2.93,201410,201410,
22,2014-11-01,0.98,3.62,201411,201411,
23,2014-12-01,0.62,3.6399999999999997,201412,201412,
24,2015-01-01,0.76,3.92,201501,201501,
25,2015-02-01,0.27,3.81,201502,201502,
26,2015-03-01,0.98,3.12,201503,201503,
27,2015-04-01,1.17,3.51,201504,201504,
28,2015-05-01,0.41,4.05,201505,201505,
29,2015-06-01,0.67,5.460000000000001,201506,201506,
30,2015-07-01,0.69,6.76,201507,201507,
31,2015-08-01,0.28,7.3100000000000005,201508,201508,
32,2015-09-01,0.95,8.06,201509,201509,
33,2015-10-01,1.89,9.67,201510,201510,
34,2015-11-01,1.52,10.209999999999999,201511,201511,
35,2015-12-01,0.49,10.08,201512,201512,
36,2016-01-01,1.14,10.46,201601,201601,
37,2016-02-01,1.29,11.48,201602,201602,
38,2016-03-01,0.51,11.01,201603,201603,
39,2016-04-01,0.33,10.17,201604,201604,
40,2016-05-01,0.82,10.58,201605,201605,
41,2016-06-01,1.69,11.6,201606,201606,
42,2016-07-01,0.18,11.09,201607,201607,
43,2016-08-01,0.15,10.959999999999999,201608,201608,
44,2016-09-01,0.2,10.21,201609,201609,
45,2016-10-01,0.16,8.48,201610,201610,
46,2016-11-01,-0.03,6.93,201611,201611,
47,2016-12-01,0.54,6.9799999999999995,201612,201612,
48,2017-01-01,0.64,6.48,201701,201701,
49,2017-02-01,0.08,5.2700000000000005,201702,201702,
50,2017-03-01,0.01,4.77,201703,201703,
51,2017-04-01,-1.1,3.3400000000000003,201704,201704,
