,ano,trimestre,txdesemprego
0,2014,1,9.4
1,2014,2,9.6
2,2014,3,9.0
3,2014,4,9.2
4,2015,1,8.6
5,2015,2,9.1
6,2015,3,8.6
7,2015,4,9.0
8,2016,1,11.2
9,2016,2,12.6
10,2016,3,14.2
11,2016,4,15.0
12,2017,1,16.1
13,2017,2,14.1
14,2017,3,13.6
15,2017,4,13.4
16,2018,1,17.1
17,2018,2,16.8
18,2018,3,17.5
19,2018,4,15.0
20,2019,1,15.5
21,2019,2,15.3
22,2019,3,14.7
23,2019,4,14.8
24,2020,1,15.5
25,2020,2,19.8
26,2020,3,20.3
27,2020,4,18.0
28,2021,1,20.9
29,2021,2,19.1
30,2021,3,17.0
31,2021,4,14.5
32,2022,1,14.9
33,2022,2,12.7
34,2022,3,12.1
35,2022,4,11.9
36,2023,1,11.9
37,2023,2,10.3
