,seq_tempo,populacao
0,1.0,2153446
1,2.0,2154397
2,3.0,2155348
3,4.0,2156299
4,5.0,2157250
5,6.0,2158201
6,7.0,2159152
7,8.0,2160103
8,9.0,2161054
9,10.0,2162005
10,11.0,2162956
11,12.0,2163907
12,13.0,2164858
13,14.0,2165809
14,15.0,2166760
15,16.0,2167711
16,17.0,2168662
17,18.0,2169614
18,19.0,2170565
19,20.0,2171516
20,21.0,2172467
21,22.0,2173418
22,23.0,2174369
23,24.0,2175320
24,25.0,2176271
25,26.0,2177222
26,27.0,2178173
27,28.0,2179124
28,29.0,2180075
29,30.0,2181026
30,31.0,2181977
31,32.0,2182928
32,33.0,2183879
33,34.0,2184830
34,35.0,2185781
35,36.0,2186732
36,37.0,2187683
37,38.0,2188634
38,39.0,2189586
39,40.0,2190537
40,41.0,2191488
41,42.0,2192439
42,43.0,2193390
43,44.0,2194341
44,45.0,2195292
45,46.0,2196243
46,47.0,2197194
47,48.0,2198145
48,49.0,2199096
49,50.0,2200047
50,51.0,2200998
51,52.0,2201949
52,53.0,2202900
53,54.0,2203851
54,55.0,2204802
55,56.0,2205753
56,57.0,2206704
57,58.0,2207655
58,59.0,2208606
59,60.0,2209558
