Município;07/20;08/20;09/20;10/20;11/20;12/20;01/21;02/21;03/21;04/21;05/21;06/21;07/21;08/21;09/21;10/21;11/21;12/21
280010 Amparo do São Francisco;4;4;8;1;2;3;0;4;4;4;3;2;4;5;5;1;3;1
280020 Aquidabã;25;21;15;10;24;10;19;21;23;23;25;27;14;17;21;21;21;20
280030 Aracaju;749;702;692;650;584;561;644;550;688;653;743;643;707;704;646;643;657;639
280040 Arauá;11;8;14;13;12;11;12;7;17;9;12;11;18;12;9;6;8;12
280050 Areia Branca;20;19;30;19;15;21;21;18;19;30;21;16;24;13;25;21;20;19
280060 Barra dos Coqueiros;45;31;51;44;44;41;40;43;54;41;63;43;42;39;54;56;47;48
280067 Boquim;25;26;27;29;17;24;22;34;20;25;35;20;19;23;35;35;25;23
280070 Brejo Grande;17;18;12;11;8;11;9;11;17;7;17;21;9;15;11;13;10;13
280100 Campo do Brito;19;21;18;17;17;22;20;16;19;19;17;20;15;16;18;20;15;18
280110 Canhoba;9;1;3;11;6;8;5;7;7;2;8;5;6;4;3;3;5;9
280120 Canindé de São Francisco;47;33;52;35;37;47;42;42;48;40;54;42;47;45;35;41;38;29
280130 Capela;49;45;36;48;47;43;53;42;52;54;54;53;49;51;42;35;37;48
280140 Carira;24;20;16;19;14;18;16;19;22;28;29;31;20;27;32;29;15;20
280150 Carmópolis;14;26;10;20;17;17;18;22;27;19;16;16;18;16;14;11;20;12
280160 Cedro de São João;3;8;5;9;3;3;6;7;6;8;8;6;4;2;1;3;6;3
280170 Cristinápolis;29;26;22;19;24;32;20;22;29;20;22;17;25;25;18;21;16;23
280190 Cumbe;1;3;2;6;3;2;2;2;0;5;3;2;2;4;0;7;3;4
280200 Divina Pastora;7;5;7;5;5;3;7;6;9;10;8;3;9;7;3;6;7;7
280210 Estância;102;95;90;66;62;84;84;70;102;91;111;98;83;72;88;88;86;82
280220 Feira Nova;9;7;10;11;3;8;8;9;9;12;8;6;6;19;6;7;7;4
280230 Frei Paulo;16;17;16;19;17;20;20;16;27;24;27;21;27;22;12;15;9;15
280240 Gararu;11;10;12;12;5;16;8;8;14;19;13;11;6;13;5;13;10;10
280250 General Maynard;3;3;0;2;1;3;6;4;5;3;2;7;5;1;2;0;4;6
280260 Gracho Cardoso;5;4;5;7;5;6;5;5;7;8;9;3;6;3;9;10;8;8
280270 Ilha das Flores;12;8;12;14;10;10;10;10;14;14;20;16;20;13;6;9;7;10
280280 Indiaroba;34;17;28;23;16;20;23;19;23;22;28;16;25;24;18;19;25;18
280290 Itabaiana;124;110;102;109;100;100;123;110;148;105;121;117;130;113;119;107;97;135
280300 Itabaianinha;39;39;52;42;42;34;51;40;47;49;48;55;48;51;42;53;36;49
280310 Itabi;4;8;2;2;3;8;3;4;9;5;1;7;8;5;1;3;4;6
280320 Itaporanga d'Ajuda;50;43;41;41;39;24;39;46;49;54;57;52;36;47;50;45;38;45
280330 Japaratuba;17;20;12;15;11;18;18;17;10;16;16;17;29;22;15;24;21;19
280340 Japoatã;19;8;15;17;18;21;23;21;21;20;14;15;11;23;18;13;22;19
280350 Lagarto;113;96;120;98;104;109;127;113;138;115;126;127;136;99;110;117;115;104
280360 Laranjeiras;31;42;25;34;27;38;37;32;37;28;31;34;33;23;34;32;26;24
280370 Macambira;11;4;7;8;8;5;8;9;6;7;7;5;5;5;11;7;3;6
280380 Malhada dos Bois;11;4;3;6;5;4;2;3;3;5;4;3;6;6;11;8;2;3
280390 Malhador;9;17;19;7;10;16;17;15;20;22;15;17;13;14;11;8;8;13
280400 Maruim;25;14;15;17;24;20;17;15;17;24;17;33;18;17;24;10;19;18
280410 Moita Bonita;11;13;15;5;6;7;12;10;20;11;14;13;14;7;5;12;9;10
280420 Monte Alegre de Sergipe;22;23;23;20;20;11;18;22;15;23;19;30;23;18;18;20;22;26
280430 Muribeca;10;11;10;16;8;8;8;13;10;12;9;12;9;9;5;10;6;13
280440 Neópolis;28;20;14;17;13;13;19;23;28;18;26;25;21;18;23;13;15;16
280445 Nossa Senhora Aparecida;12;6;11;9;6;5;8;7;11;16;12;9;9;9;6;9;9;16
280450 Nossa Senhora da Glória;52;54;49;60;38;48;45;40;51;56;58;62;56;46;63;55;65;51
