Município;10/21;11/21;12/21;01/22;02/22;03/22;04/22;05/22;06/22;07/22;08/22;09/22;10/22;11/22;12/22;01/23;02/23;03/23
280010 Amparo do São Francisco;1;3;1;3;2;0;2;2;4;2;3;1;4;2;2;1;4;5
280020 Aquidabã;21;21;20;16;16;18;20;25;21;11;17;22;25;23;20;19;17;28
280030 Aracaju;643;657;639;666;568;728;648;684;588;624;554;528;524;535;611;624;570;716
280040 Arauá;7;8;12;9;17;10;10;14;9;15;10;4;9;8;10;14;6;15
280050 Areia Branca;21;20;19;19;13;26;19;28;14;29;17;14;18;10;17;23;18;21
280060 Barra dos Coqueiros;56;47;48;44;32;55;37;57;53;53;54;26;39;48;56;52;45;55
280067 Boquim;35;25;23;21;18;26;26;20;26;25;17;24;18;22;23;20;17;23
280070 Brejo Grande;13;10;13;14;8;13;15;8;4;9;11;10;7;11;6;11;6;12
280100 Campo do Brito;20;15;19;26;20;19;27;24;14;19;13;13;11;17;12;15;13;33
280110 Canhoba;3;5;9;3;7;4;2;5;5;5;4;5;6;6;2;4;7;9
280120 Canindé de São Francisco;41;38;35;28;48;50;53;54;34;35;46;30;48;39;45;46;47;47
280130 Capela;35;37;49;51;37;39;38;50;33;31;36;33;31;43;54;39;35;31
280140 Carira;29;15;20;26;23;23;24;39;24;20;23;19;12;21;23;21;24;17
280150 Carmópolis;11;20;12;15;18;21;12;16;16;9;12;18;12;8;17;11;19;15
280160 Cedro de São João;3;6;3;4;6;2;1;5;6;5;7;4;3;1;4;6;6;4
280170 Cristinápolis;21;16;23;21;23;22;18;27;28;27;19;18;13;17;20;20;12;22
280190 Cumbe;7;3;4;7;5;2;1;6;2;0;3;6;1;2;5;4;5;3
280200 Divina Pastora;6;7;7;1;2;13;4;4;8;5;7;6;4;3;5;3;4;10
280210 Estância;88;86;82;91;77;112;94;99;69;72;74;48;74;59;71;93;76;90
280220 Feira Nova;7;7;4;5;3;11;7;11;8;2;6;3;8;8;6;10;8;7
280230 Frei Paulo;15;9;15;15;17;21;18;15;17;17;14;15;19;15;15;17;19;13
280240 Gararu;13;10;10;14;14;15;12;12;7;10;8;5;11;10;14;15;10;11
280250 General Maynard;0;4;6;1;0;6;3;2;3;3;1;2;1;1;4;6;0;6
280260 Gracho Cardoso;10;8;8;3;6;7;3;1;5;5;12;7;3;6;9;9;6;3
280270 Ilha das Flores;9;7;10;14;6;12;8;15;13;11;13;6;9;11;11;14;10;8
280280 Indiaroba;19;25;18;18;25;30;25;29;13;21;18;13;17;19;16;24;18;28
280290 Itabaiana;107;97;135;105;94;120;116;131;91;131;93;89;87;115;109;117;122;115
280300 Itabaianinha;53;36;48;43;37;50;47;48;44;43;45;42;27;53;49;38;51;49
280310 Itabi;3;4;6;7;1;2;6;3;4;4;5;3;8;6;8;3;4;5
280320 Itaporanga d'Ajuda;45;38;45;35;37;48;44;41;46;36;22;21;32;39;49;36;25;45
280330 Japaratuba;24;21;19;15;17;23;18;15;22;17;14;11;8;11;10;17;21;24
280340 Japoatã;13;22;19;20;17;18;14;23;8;13;11;9;12;14;19;13;16;18
280350 Lagarto;117;115;104;110;109;125;125;117;125;100;118;94;82;91;111;114;109;133
280360 Laranjeiras;32;26;24;23;36;33;37;33;27;38;27;26;29;26;32;29;38;34
280370 Macambira;7;3;6;7;5;9;7;10;10;4;6;2;8;5;5;10;15;8
280380 Malhada dos Bois;8;2;3;3;5;3;5;6;6;5;5;4;6;4;0;2;3;3
280390 Malhador;8;8;13;13;6;17;17;12;8;10;8;4;12;4;14;11;12;15
280400 Maruim;10;19;18;20;20;29;16;21;22;23;19;20;14;17;10;20;20;25
280410 Moita Bonita;12;9;10;12;3;10;6;13;9;10;11;9;7;9;12;13;9;7
280420 Monte Alegre de Sergipe;20;22;26;16;20;29;17;14;20;18;28;10;19;20;21;17;24;18
280430 Muribeca;10;6;13;10;6;8;3;12;7;6;9;11;11;7;5;5;4;11
280440 Neópolis;13;15;16;18;13;15;24;9;18;14;16;17;16;15;19;29;16;25
280445 Nossa Senhora Aparecida;9;9;16;6;10;7;5;8;13;9;10;8;11;7;11;11;9;8
280450 Nossa Senhora da Glória;55;65;51;73;49;51;52;49;46;53;49;35;40;40;51;49;54;71
280460 Nossa Senhora das Dores;33;28;26;27;33;26;25;33;30;35;17;26;25;28;22;31;26;36
280470 Nossa Senhora de Lourdes;8;4;5;5;4;8;6;8;11;4;10;6;4;4;16;8;8;3
280480 Nossa Senhora do Socorro;240;231;188;236;203;283;247;256;267;229;202;184;162;199;196;226;191;267
280490 Pacatuba;17;18;17;13;13;17;21;18;15;17;13;8;12;13;14;19;13;21
280500 Pedra Mole;2;5;2;6;5;5;5;4;3;1;4;5;0;3;2;4;1;3
280510 Pedrinhas;17;5;9;5;7;8;6;7;10;8;7;14;7;7;10;13;8;6
280520 Pinhão;12;8;7;4;13;7;7;7;8;8;10;3;5;2;8;6;4;6
280530 Pirambu;12;3;9;18;8;9;16;16;14;13;5;5;3;8;10;9;11;13
280540 Poço Redondo;36;27;52;40;41;40;44;40;43;32;34;46;39;33;45;42;33;42
280550 Poço Verde;32;18;20;26;29;24;15;30;19;18;21;19;15;16;18;17;16;18
