Município;08/18;09/18;10/18;11/18;12/18;01/19;02/19;03/19;04/19;05/19;06/19;07/19;08/19;09/19;10/19;11/19;12/19;01/20
280010 Amparo do São Francisco;0;2;1;0;3;2;2;1;1;1;3;3;4;3;2;4;3;4
280020 Aquidabã;16;14;12;13;12;13;10;13;11;8;8;12;15;17;14;10;12;12
280030 Aracaju;285;276;282;266;289;299;288;314;295;321;331;306;340;268;321;291;324;312
280040 Arauá;3;8;8;5;3;0;3;2;4;6;6;7;6;10;4;3;4;2
280050 Areia Branca;10;9;11;6;7;9;12;11;11;7;10;8;5;4;6;5;15;10
280060 Barra dos Coqueiros;17;14;20;13;17;11;5;9;13;19;19;11;16;12;17;15;15;12
280067 Boquim;12;14;11;15;12;11;9;12;17;9;13;16;14;13;15;12;9;16
280070 Brejo Grande;7;4;5;2;5;3;2;6;5;5;10;3;1;4;5;3;1;5
280100 Campo do Brito;14;8;7;12;11;6;10;14;13;14;14;6;13;11;9;12;12;18
280110 Canhoba;2;2;3;2;2;2;5;0;2;2;3;3;1;2;6;2;2;4
280120 Canindé de São Francisco;6;13;4;9;10;11;17;11;14;8;13;16;11;11;11;10;13;15
280130 Capela;18;15;17;16;20;17;25;12;16;22;18;21;13;15;18;22;16;17
280140 Carira;13;5;11;12;16;12;8;14;12;14;11;18;16;10;11;13;14;6
280150 Carmópolis;8;9;6;7;7;6;10;6;9;5;6;11;6;9;7;5;8;8
280160 Cedro de São João;3;3;10;5;11;5;5;1;2;1;6;5;1;7;2;2;2;2
280170 Cristinápolis;6;8;7;6;9;5;9;12;9;14;11;8;13;10;11;8;5;9
280190 Cumbe;3;1;3;1;0;2;2;1;5;1;3;1;0;4;2;1;2;1
280200 Divina Pastora;0;6;0;3;0;2;3;2;2;2;2;2;3;1;2;3;4;1
280210 Estância;29;41;36;35;47;37;46;42;39;40;47;41;37;36;44;29;33;44
280220 Feira Nova;6;3;4;2;0;4;3;1;4;4;4;2;4;5;3;3;2;4
280230 Frei Paulo;8;13;3;6;9;7;7;9;8;8;11;7;7;12;8;8;8;10
280240 Gararu;5;3;1;2;1;5;5;6;4;6;7;3;6;6;5;6;6;2
280250 General Maynard;2;1;3;2;2;1;0;2;3;2;0;2;1;0;1;2;3;1
280260 Gracho Cardoso;6;2;5;3;2;3;4;4;4;2;5;3;7;3;4;4;3;4
280270 Ilha das Flores;5;7;3;3;7;3;3;4;2;4;6;4;7;5;3;4;5;8
280280 Indiaroba;11;7;10;4;7;7;12;9;9;5;5;9;3;4;4;8;8;13
280290 Itabaiana;44;45;52;42;48;54;58;61;40;60;62;57;58;32;55;38;46;57
280300 Itabaianinha;15;9;15;29;21;24;15;28;22;17;18;23;21;16;14;15;12;10
280310 Itabi;0;6;1;2;2;3;2;4;0;5;1;7;1;5;4;4;3;3
280320 Itaporanga d'Ajuda;20;17;20;10;18;22;14;14;13;11;26;17;11;15;10;13;13;9
280330 Japaratuba;6;7;12;11;11;5;8;7;9;7;8;7;10;7;11;4;10;11
280340 Japoatã;5;7;7;5;5;4;8;2;8;2;8;6;6;9;12;10;9;11
280350 Lagarto;51;45;54;51;59;57;47;51;48;61;58;55;47;58;48;46;58;65
280360 Laranjeiras;16;12;8;6;20;15;13;19;21;19;15;13;12;14;17;8;16;15
280370 Macambira;4;4;7;8;3;4;4;2;3;7;2;5;1;4;3;1;1;4
280380 Malhada dos Bois;6;2;3;5;2;5;2;2;1;3;2;2;0;1;1;4;1;3
280390 Malhador;1;5;4;6;11;4;1;1;7;6;8;10;6;10;9;3;4;4
280400 Maruim;4;16;17;4;9;11;4;9;10;13;14;14;7;13;5;5;4;11
280410 Moita Bonita;6;11;11;6;9;4;8;1;7;6;6;8;6;7;6;3;5;14
280420 Monte Alegre de Sergipe;8;1;4;4;3;5;6;7;10;7;11;8;3;5;5;6;13;7
280430 Muribeca;2;2;4;4;4;7;2;2;2;6;7;6;11;3;4;4;5;5
280440 Neópolis;12;7;10;9;13;17;7;10;7;13;10;10;6;12;6;13;19;10
280445 Nossa Senhora Aparecida;4;7;5;4;2;4;2;3;5;6;4;5;7;3;4;3;5;1
280450 Nossa Senhora da Glória;10;14;14;16;19;9;13;15;22;23;19;24;17;19;20;16;11;18
280460 Nossa Senhora das Dores;17;14;9;13;11;8;8;18;11;11;12;12;10;8;9;17;14;18
280470 Nossa Senhora de Lourdes;3;3;3;6;4;2;1;2;5;6;5;5;4;5;1;2;2;4
280480 Nossa Senhora do Socorro;66;66;60;75;73;63;71;85;81;86;77;79;83;92;81;71;80;80
280490 Pacatuba;6;5;10;6;9;11;5;5;2;5;8;9;9;7;6;6;4;7
280500 Pedra Mole;0;0;1;0;2;3;2;2;0;2;4;4;0;0;2;2;1;2
280510 Pedrinhas;7;6;5;12;3;1;5;9;7;3;5;3;2;5;6;4;5;4
280520 Pinhão;7;3;2;8;2;2;2;1;4;1;4;4;7;5;2;3;3;4
280530 Pirambu;8;11;6;3;7;3;2;5;4;4;2;4;6;6;6;5;2;5
280540 Poço Redondo;11;17;12;9;15;12;9;13;13;21;10;13;17;10;13;12;13;9
280550 Poço Verde;10;8;16;13;16;12;18;15;14;19;12;16;20;15;15;15;22;12
280560 Porto da Folha;12;11;5;10;11;15;16;22;9;21;14;23;18;18;15;12;17;11
280570 Propriá;20;19;15;10;19;13;10;14;21;29;15;28;21;8;15;10;17;18
280580 Riachão do Dantas;7;8;8;7;9;12;9;8;9;8;12;8;10;11;12;11;8;9
280590 Riachuelo;4;2;10;6;2;5;5;5;5;6;7;6;5;8;5;8;4;4
280600 Ribeirópolis;10;7;16;3;7;7;8;12;14;8;8;9;15;10;11;12;11;7
280610 Rosário do Catete;2;1;6;10;3;8;8;6;1;4;5;4;4;4;2;1;3;5
280620 Salgado;11;8;11;10;7;9;10;11;7;13;11;14;12;7;9;5;12;13
280630 Santa Luzia do Itanhy;9;3;5;2;11;6;12;10;8;3;7;8;4;9;5;2;8;4
280640 Santana do São Francisco;3;4;1;2;3;6;3;6;6;8;3;4;7;4;6;0;8;3
280650 Santa Rosa de Lima;1;4;2;2;0;3;0;4;2;2;3;5;1;2;1;3;2;2
280660 Santo Amaro das Brotas;8;5;6;12;5;3;6;7;9;4;3;8;7;10;10;3;5;7
280670 São Cristóvão;36;31;29;37;49;42;37;46;38;41;46;40;46;25;46;38;46;37
280680 São Domingos;7;4;5;2;6;9;4;12;9;6;4;5;6;4;2;6;8;4
280690 São Francisco;4;2;2;4;0;5;1;3;1;1;2;3;2;1;0;2;2;1
280700 São Miguel do Aleixo;3;3;3;0;0;2;2;2;1;1;3;1;3;1;2;2;2;1
280710 Simão Dias;16;25;25;22;23;19;23;34;22;25;25;17;22;21;24;31;32;35
280720 Siriri;3;3;6;6;1;5;1;2;5;0;5;5;2;4;2;1;4;7
280730 Telha;1;0;0;1;2;3;5;1;1;0;0;0;2;2;2;1;2;2
280740 Tobias Barreto;32;18;31;28;21;30;24;21;26;25;27;33;23;25;29;23;15;21
280750 Tomar do Geru;3;10;8;9;5;4;7;7;4;9;5;5;6;6;4;9;4;5
280760 Umbaúba;13;24;12;10;12;17;15;6;11;12;20;15;15;20;4;10;14;14
