Município;10/21;11/21;12/21;01/22;02/22;03/22;04/22;05/22;06/22;07/22;08/22;09/22;10/22;11/22;12/22;01/23;02/23;03/23
280010 Amparo do São Francisco;1;4;2;3;2;0;1;1;4;2;1;2;1;2;2;1;1;2
280020 Aquidabã;14;9;5;16;15;14;19;17;15;21;11;9;10;12;11;19;11;7
280030 Aracaju;319;315;331;445;380;306;306;289;313;327;329;301;322;311;355;295;282;307
280040 Arauá;8;6;8;16;8;1;8;6;4;6;11;7;6;5;6;2;5;5
280050 Areia Branca;14;12;11;18;16;6;10;9;10;9;6;5;14;6;17;5;2;15
280060 Barra dos Coqueiros;16;11;28;28;17;15;11;16;16;18;12;13;12;16;16;13;15;19
280067 Boquim;24;10;13;33;22;14;13;14;10;17;18;16;17;16;21;14;18;14
280070 Brejo Grande;4;3;5;7;3;2;2;7;3;7;4;4;3;1;3;11;4;2
280100 Campo do Brito;12;13;16;16;10;12;9;11;14;11;9;12;9;7;17;13;9;13
280110 Canhoba;3;1;2;3;2;5;2;5;0;1;5;4;1;0;4;4;4;0
280120 Canindé de São Francisco;11;10;11;14;17;10;15;16;15;23;8;13;11;11;16;19;7;18
280130 Capela;30;23;29;26;14;16;19;17;21;31;14;23;16;24;22;20;15;17
280140 Carira;10;8;14;18;15;7;8;9;8;17;19;14;17;5;8;11;14;13
280150 Carmópolis;6;12;9;5;12;4;5;8;9;7;9;3;2;6;5;6;7;5
280160 Cedro de São João;3;2;6;8;5;7;2;3;4;5;2;8;6;3;3;2;4;7
280170 Cristinápolis;11;12;6;21;7;7;7;12;6;10;4;7;16;6;5;4;4;15
280190 Cumbe;0;2;5;3;0;1;2;3;3;1;3;4;1;1;2;1;3;2
280200 Divina Pastora;1;3;4;1;0;1;1;2;0;4;3;6;1;0;4;2;0;5
280210 Estância;36;36;49;55;43;26;33;45;38;43;39;42;34;35;38;34;38;42
280220 Feira Nova;1;2;3;4;2;3;3;3;4;4;4;9;4;0;4;5;3;1
280230 Frei Paulo;10;4;8;14;6;8;9;6;8;10;10;12;6;10;8;10;8;10
280240 Gararu;3;4;6;8;4;4;9;4;9;5;8;6;4;6;6;5;5;5
280250 General Maynard;0;1;3;2;1;3;0;1;2;3;2;0;2;1;1;4;0;2
280260 Gracho Cardoso;3;3;3;7;3;4;5;6;3;6;7;4;4;0;4;5;6;1
280270 Ilha das Flores;9;9;7;11;6;3;5;4;4;8;6;4;5;2;5;4;3;4
280280 Indiaroba;4;6;10;11;9;3;9;7;6;11;5;7;8;6;7;7;13;3
280290 Itabaiana;47;61;49;70;45;65;49;57;60;56;65;59;53;40;66;34;44;56
280300 Itabaianinha;27;15;45;25;17;13;13;16;16;26;17;18;17;18;21;23;20;21
280310 Itabi;3;3;3;1;3;1;2;6;0;6;3;3;2;2;2;5;2;3
280320 Itaporanga d'Ajuda;14;13;11;15;25;22;16;19;17;18;16;20;22;14;22;18;17;14
280330 Japaratuba;12;4;17;11;11;10;2;15;11;9;9;10;10;8;7;10;6;9
