,seq_tempo,idplano,Benef_ativos
0,1,1,84336
1,1,2,75297
2,1,3,23084
3,1,4,27668
4,1,5,36068
5,2,1,84129
6,2,2,74986
7,2,3,23071
8,2,4,28257
9,2,5,38171
10,3,1,83901
11,3,2,75021
12,3,3,23132
13,3,4,28191
14,3,5,37759
15,4,1,84207
16,4,2,74913
17,4,3,23160
18,4,4,28265
19,4,5,37886
20,5,1,84881
21,5,2,75007
22,5,3,23275
23,5,4,28108
24,5,5,37379
25,6,1,88508
26,6,2,75112
27,6,3,23303
28,6,4,26868
29,6,5,39706
30,7,1,87719
31,7,2,74969
32,7,3,23156
33,7,4,27469
34,7,5,39075
35,8,1,87517
36,8,2,75093
37,8,3,22992
38,8,4,27658
39,8,5,39327
40,9,1,87126
41,9,2,75221
42,9,3,22598
43,9,4,28065
44,9,5,39155
45,10,1,87916
46,10,2,75464
47,10,3,22524
48,10,4,28516
49,10,5,39061
50,11,1,87758
51,11,2,75550
52,11,3,22455
53,11,4,28729
54,11,5,39213
55,12,1,88561
56,12,2,75566
57,12,3,22237
58,12,4,28224
59,12,5,39046
60,13,1,88165
61,13,2,75673
62,13,3,21976
63,13,4,28574
64,13,5,38581
65,14,1,88098
66,14,2,75788
67,14,3,22279
68,14,4,28963
69,14,5,38551
70,15,1,88185
71,15,2,75971
72,15,3,22328
73,15,4,28689
74,15,5,36871
75,16,1,88615
76,16,2,76419
77,16,3,22253
78,16,4,28621
79,16,5,38044
80,17,1,88756
81,17,2,76253
82,17,3,22438
83,17,4,28719
84,17,5,38082
85,18,1,88792
86,18,2,76267
87,18,3,22441
88,18,4,28909
89,18,5,38141
90,19,1,89230
91,19,2,76875
92,19,3,22299
93,19,4,28540
94,19,5,35871
95,20,1,89062
96,20,2,77312
97,20,3,22416
98,20,4,28537
99,20,5,37769
100,21,1,89993
101,21,2,77672
102,21,3,22506
103,21,4,27913
104,21,5,38596
105,22,1,90100
106,22,2,77992
107,22,3,22508
108,22,4,27596
109,22,5,38205
110,23,1,86704
111,23,2,78382
112,23,3,22470
113,23,4,27098
114,23,5,38589
115,24,1,85825
116,24,2,78402
117,24,3,22535
118,24,4,26749
119,24,5,38432
120,25,1,85453
121,25,2,78484
122,25,3,22692
123,25,4,26718
124,25,5,38008
125,26,1,85164
126,26,2,78737
127,26,3,22750
128,26,4,26530
129,26,5,37552
130,27,1,85061
131,27,2,79195
132,27,3,22896
133,27,4,26291
134,27,5,37783
135,28,1,84733
136,28,2,79533
137,28,3,23097
138,28,4,26029
139,28,5,38203
140,29,1,84473
141,29,2,79703
142,29,3,23385
143,29,4,25979
144,29,5,38308
145,30,1,84491
146,30,2,80247
147,30,3,23437
148,30,4,26122
149,30,5,38594
150,31,1,84356
151,31,2,80176
152,31,3,23485
153,31,4,26117
154,31,5,38734
155,32,1,83536
156,32,2,81133
157,32,3,23606
158,32,4,26056
159,32,5,36767
160,33,1,84162
161,33,2,81620
162,33,3,23779
163,33,4,25908
164,33,5,37044
165,34,1,83500
166,34,2,81922
167,34,3,23938
168,34,4,25593
169,34,5,38744
170,35,1,83319
171,35,2,82371
172,35,3,24123
173,35,4,25321
174,35,5,39387
175,36,1,83263
176,36,2,82907
177,36,3,24436
178,36,4,25136
179,36,5,39570
180,37,1,83798
181,37,2,83324
182,37,3,24537
183,37,4,25066
184,37,5,43141
185,38,1,84206
186,38,2,83851
187,38,3,24693
188,38,4,24886
189,38,5,43038
190,39,1,84643
191,39,2,83666
192,39,3,24787
193,39,4,24525
194,39,5,42333
195,40,1,85458
196,40,2,83891
197,40,3,24858
198,40,4,24948
199,40,5,43035
200,41,1,85582
201,41,2,84280
202,41,3,24850
203,41,4,24759
204,41,5,43272
205,42,1,88368
206,42,2,84878
207,42,3,24766
208,42,4,24354
209,42,5,42900
210,43,1,87989
211,43,2,85420
212,43,3,24833
213,43,4,24153
214,43,5,42913
215,44,1,88313
216,44,2,85646
217,44,3,24772
218,44,4,24347
219,44,5,43284
220,45,1,88978
221,45,2,85740
222,45,3,24731
223,45,4,24430
224,45,5,43555
225,46,1,90426
226,46,2,85447
227,46,3,24881
228,46,4,24427
229,46,5,43401
230,47,1,93954
231,47,2,85772
232,47,3,25034
233,47,4,24559
234,47,5,43198
235,48,1,95623
236,48,2,85890
237,48,3,25257
238,48,4,24559
239,48,5,43119
240,49,1,96154
241,49,2,85308
242,49,3,25428
243,49,4,24592
244,49,5,43542
245,50,1,96081
246,50,2,85250
247,50,3,25765
248,50,4,24760
249,50,5,43313
250,51,1,96873
251,51,2,84179
252,51,3,26130
253,51,4,24987
254,51,5,43287
255,52,1,96643
256,52,2,84124
257,52,3,26268
258,52,4,26092
259,52,5,41219
260,53,1,96594
261,53,2,84270
262,53,3,26381
263,53,4,25882
264,53,5,42926
265,54,1,98169
266,54,2,84108
267,54,3,26701
268,54,4,25414
269,54,5,42793
270,55,1,97845
271,55,2,83861
272,55,3,26876
273,55,4,23424
274,55,5,42868
275,56,1,97515
276,56,2,83421
277,56,3,26962
278,56,4,21899
279,56,5,42376
280,57,1,96705
281,57,2,83365
282,57,3,27139
283,57,4,22016
284,57,5,44786
285,58,1,97197
286,58,2,83331
287,58,3,27113
288,58,4,21975
289,58,5,45354
290,59,1,96979
291,59,2,83767
292,59,3,27004
293,59,4,21857
294,59,5,45659
295,60,1,97372
296,60,2,83910
297,60,3,26892
298,60,4,21727
299,60,5,46013
