,Benef_ativos,idplano,seq_tempo,nascimentos,obitos,txdesemprego,ipca
0,84336,1,1,2986.0,1149.0,17.033333333333335,3.5
1,75297,2,1,2986.0,1149.0,17.033333333333335,3.5
2,23084,3,1,2986.0,1149.0,17.033333333333335,3.5
3,27668,4,1,2986.0,1149.0,17.033333333333335,3.5
4,36068,5,1,2986.0,1149.0,17.033333333333335,3.5
5,84129,1,2,2878.0,1118.0,17.266666666666666,3.5500000000000003
6,74986,2,2,2878.0,1118.0,17.266666666666666,3.5500000000000003
7,23071,3,2,2878.0,1118.0,17.266666666666666,3.5500000000000003
8,28257,4,2,2878.0,1118.0,17.266666666666666,3.5500000000000003
9,38171,5,2,2878.0,1118.0,17.266666666666666,3.5500000000000003
10,83901,1,3,2813.0,2097.0,17.5,3.59
11,75021,2,3,2813.0,2097.0,17.5,3.59
12,23132,3,3,2813.0,2097.0,17.5,3.59
13,28191,4,3,2813.0,2097.0,17.5,3.59
14,37759,5,3,2813.0,2097.0,17.5,3.59
15,84207,1,4,2683.0,2059.0,16.666666666666668,3.5100000000000002
16,74913,2,4,2683.0,2059.0,16.666666666666668,3.5100000000000002
17,23160,3,4,2683.0,2059.0,16.666666666666668,3.5100000000000002
18,28265,4,4,2683.0,2059.0,16.666666666666668,3.5100000000000002
19,37886,5,4,2683.0,2059.0,16.666666666666668,3.5100000000000002
20,84881,1,5,2594.0,2120.0,15.833333333333334,3.65
21,75007,2,5,2594.0,2120.0,15.833333333333334,3.65
22,23275,3,5,2594.0,2120.0,15.833333333333334,3.65
23,28108,4,5,2594.0,2120.0,15.833333333333334,3.65
24,37379,5,5,2594.0,2120.0,15.833333333333334,3.65
25,88508,1,6,2585.0,2017.0,15.0,3.5700000000000003
26,75112,2,6,2585.0,2017.0,15.0,3.5700000000000003
27,23303,3,6,2585.0,2017.0,15.0,3.5700000000000003
28,26868,4,6,2585.0,2017.0,15.0,3.5700000000000003
29,39706,5,6,2585.0,2017.0,15.0,3.5700000000000003
30,87719,1,7,2639.0,2208.0,15.166666666666666,3.76
31,74969,2,7,2639.0,2208.0,15.166666666666666,3.76
32,23156,3,7,2639.0,2208.0,15.166666666666666,3.76
33,27469,4,7,2639.0,2208.0,15.166666666666666,3.76
34,39075,5,7,2639.0,2208.0,15.166666666666666,3.76
35,87517,1,8,2680.0,2145.0,15.333333333333334,3.71
36,75093,2,8,2680.0,2145.0,15.333333333333334,3.71
37,22992,3,8,2680.0,2145.0,15.333333333333334,3.71
38,27658,4,8,2680.0,2145.0,15.333333333333334,3.71
39,39327,5,8,2680.0,2145.0,15.333333333333334,3.71
40,87126,1,9,2643.0,1048.0,15.5,3.7800000000000002
41,75221,2,9,2643.0,1048.0,15.5,3.7800000000000002
42,22598,3,9,2643.0,1048.0,15.5,3.7800000000000002
43,28065,4,9,2643.0,1048.0,15.5,3.7800000000000002
44,39155,5,9,2643.0,1048.0,15.5,3.7800000000000002
45,87916,1,10,3038.0,1150.0,15.433333333333334,3.94
46,75464,2,10,3038.0,1150.0,15.433333333333334,3.94
47,22524,3,10,3038.0,1150.0,15.433333333333334,3.94
48,28516,4,10,3038.0,1150.0,15.433333333333334,3.94
49,39061,5,10,3038.0,1150.0,15.433333333333334,3.94
50,87758,1,11,2901.0,1099.0,15.366666666666667,4.01
51,75550,2,11,2901.0,1099.0,15.366666666666667,4.01
52,22455,3,11,2901.0,1099.0,15.366666666666667,4.01
53,28729,4,11,2901.0,1099.0,15.366666666666667,4.01
54,39213,5,11,2901.0,1099.0,15.366666666666667,4.01
55,88561,1,12,2953.0,1186.0,15.3,3.79
56,75566,2,12,2953.0,1186.0,15.3,3.79
57,22237,3,12,2953.0,1186.0,15.3,3.79
58,28224,4,12,2953.0,1186.0,15.3,3.79
59,39046,5,12,2953.0,1186.0,15.3,3.79
60,88165,1,13,2872.0,1215.0,15.1,3.6100000000000003
61,75673,2,13,2872.0,1215.0,15.1,3.6100000000000003
62,21976,3,13,2872.0,1215.0,15.1,3.6100000000000003
63,28574,4,13,2872.0,1215.0,15.1,3.6100000000000003
64,38581,5,13,2872.0,1215.0,15.1,3.6100000000000003
65,88098,1,14,5509.0,1195.0,14.9,3.5300000000000002
66,75788,2,14,5509.0,1195.0,14.9,3.5300000000000002
67,22279,3,14,5509.0,1195.0,14.9,3.5300000000000002
68,28963,4,14,5509.0,1195.0,14.9,3.5300000000000002
69,38551,5,14,5509.0,1195.0,14.9,3.5300000000000002
70,88185,1,15,5334.0,2339.0,14.7,3.38
71,75971,2,15,5334.0,2339.0,14.7,3.38
72,22328,3,15,5334.0,2339.0,14.7,3.38
73,28689,4,15,5334.0,2339.0,14.7,3.38
74,36871,5,15,5334.0,2339.0,14.7,3.38
75,88615,1,16,5224.0,2138.0,14.733333333333333,3.3
76,76419,2,16,5224.0,2138.0,14.733333333333333,3.3
77,22253,3,16,5224.0,2138.0,14.733333333333333,3.3
78,28621,4,16,5224.0,2138.0,14.733333333333333,3.3
79,38044,5,16,5224.0,2138.0,14.733333333333333,3.3
